timestamp,banjarangkan_odp,banjarangkan_otg,banjarangkan_pdp,banjarangkan_positif,dawan_odp,dawan_otg,dawan_pdp,dawan_positif,klungkung_odp,klungkung_otg,klungkung_pdp,klungkung_positif,nusapenida_odp,nusapenida_otg,nusapenida_pdp,nusapenida_positif,wna_odp,wna_otg,wna_pdp,wna_positif,total_odp,total_otg,total_pdp,total_positif
2020-04-11 16:07:11 ,2,3,0,0,2,5,4,0,15,82,7,3,2,0,0,0,0,0,1,0,21,90,12,3
2020-04-11 16:07:49 ,2,3,0,0,2,5,4,0,15,82,7,3,2,0,0,0,0,0,1,0,21,90,12,3
